наклон 126/451: клетки [451, -451, 126, -126, 325, -325, 577, -577]; вырожденные рациональные z на X_k: [0]
множителей 126 (из 126), время 6.2 с; ранги: 36×1 68×2 18×3 4×4; недоказанных 0; насыщение индексы>1: 8
используем: -577,-451,-126 (r=1, T=[4, 2]); -577,-451,126 (r=1, T=[4, 2]); -577,-325,-126 (r=1, T=[2, 2]); -577,-126,451 (r=1, T=[4, 2]); -577,-126,577 (r=1, T=[2, 2]); -577,126,325 (r=1, T=[2, 2]); -577,126,451 (r=1, T=[2, 2]); -577,126,577 (r=1, T=[2, 2]); -451,-325,-126 (r=1, T=[4, 2]); -451,-325,126 (r=1, T=[4, 2]); -451,-126,325 (r=1, T=[4, 2]); -451,-126,577 (r=1, T=[2, 2]); -451,126,325 (r=1, T=[2, 2]); -451,126,577 (r=1, T=[4, 2]); -325,-126,451 (r=1, T=[2, 2]); -325,-126,577 (r=1, T=[2, 2])
  ('lift', '-577,126,325', 3): выживших 128 (N=[24, 24, 12, 24, 12, 12, 4, 4, 8, 8, 8, 4, 4, 8, 4, 4])
  ('lift', '-577,126,451', 3): выживших 128 (N=[24, 24, 12, 24, 12, 12, 12, 4, 8, 8, 8, 4, 4, 8, 4, 4])
  ('lift', '-577,126,577', 3): выживших 128 (N=[24, 24, 12, 24, 12, 12, 12, 12, 8, 8, 8, 4, 4, 8, 4, 4])
  ('lift', '-451,-325,-126', 3): выживших 128 (N=[24, 24, 12, 24, 12, 12, 12, 12, 24, 8, 8, 4, 4, 8, 4, 4])
  ('lift', '-451,-325,126', 3): выживших 128 (N=[24, 24, 12, 24, 12, 12, 12, 12, 24, 24, 8, 4, 4, 8, 4, 4])
  ('lift', '-451,-126,325', 3): выживших 128 (N=[24, 24, 12, 24, 12, 12, 12, 12, 24, 24, 24, 4, 4, 8, 4, 4])
  ('lift', '-451,-126,577', 3): выживших 128 (N=[24, 24, 12, 24, 12, 12, 12, 12, 24, 24, 24, 12, 4, 8, 4, 4])
  ('lift', '-451,126,325', 3): выживших 128 (N=[24, 24, 12, 24, 12, 12, 12, 12, 24, 24, 24, 12, 12, 8, 4, 4])
  ('lift', '-451,126,577', 3): выживших 128 (N=[24, 24, 12, 24, 12, 12, 12, 12, 24, 24, 24, 12, 12, 24, 4, 4])
  ('lift', '-325,-126,451', 3): выживших 128 (N=[24, 24, 12, 24, 12, 12, 12, 12, 24, 24, 24, 12, 12, 24, 12, 4])
  ('lift', '-325,-126,577', 3): выживших 128 (N=[24, 24, 12, 24, 12, 12, 12, 12, 24, 24, 24, 12, 12, 24, 12, 12])
  ('lift', '-577,-451,-126', 2): выживших 128 (N=[48, 24, 12, 24, 12, 12, 12, 12, 24, 24, 24, 12, 12, 24, 12, 12])
  ('lift', '-577,-451,126', 2): выживших 128 (N=[48, 48, 12, 24, 12, 12, 12, 12, 24, 24, 24, 12, 12, 24, 12, 12])
  ('lift', '-577,-325,-126', 2): выживших 128 (N=[48, 48, 24, 24, 12, 12, 12, 12, 24, 24, 24, 12, 12, 24, 12, 12])
  ('lift', '-577,-126,451', 2): выживших 128 (N=[48, 48, 24, 48, 12, 12, 12, 12, 24, 24, 24, 12, 12, 24, 12, 12])
  ('lift', '-577,-126,577', 2): выживших 128 (N=[48, 48, 24, 48, 24, 12, 12, 12, 24, 24, 24, 12, 12, 24, 12, 12])
  ('lift', '-577,126,325', 2): выживших 128 (N=[48, 48, 24, 48, 24, 24, 12, 12, 24, 24, 24, 12, 12, 24, 12, 12])
  ('lift', '-577,126,451', 2): выживших 128 (N=[48, 48, 24, 48, 24, 24, 24, 12, 24, 24, 24, 12, 12, 24, 12, 12])
  ('lift', '-577,126,577', 2): выживших 128 (N=[48, 48, 24, 48, 24, 24, 24, 24, 24, 24, 24, 12, 12, 24, 12, 12])
  ('lift', '-451,-325,-126', 2): выживших 128 (N=[48, 48, 24, 48, 24, 24, 24, 24, 48, 24, 24, 12, 12, 24, 12, 12])
  ('lift', '-451,-325,126', 2): выживших 128 (N=[48, 48, 24, 48, 24, 24, 24, 24, 48, 48, 24, 12, 12, 24, 12, 12])
  ('lift', '-451,-126,325', 2): выживших 128 (N=[48, 48, 24, 48, 24, 24, 24, 24, 48, 48, 48, 12, 12, 24, 12, 12])
  ('lift', '-451,-126,577', 2): выживших 128 (N=[48, 48, 24, 48, 24, 24, 24, 24, 48, 48, 48, 24, 12, 24, 12, 12])
  ('lift', '-451,126,325', 2): выживших 128 (N=[48, 48, 24, 48, 24, 24, 24, 24, 48, 48, 48, 24, 24, 24, 12, 12])
  ('lift', '-451,126,577', 2): выживших 128 (N=[48, 48, 24, 48, 24, 24, 24, 24, 48, 48, 48, 24, 24, 48, 12, 12])
  ('lift', '-325,-126,451', 2): выживших 128 (N=[48, 48, 24, 48, 24, 24, 24, 24, 48, 48, 48, 24, 24, 48, 24, 12])
  ('lift', '-325,-126,577', 2): выживших 128 (N=[48, 48, 24, 48, 24, 24, 24, 24, 48, 48, 48, 24, 24, 48, 24, 24])
  ('lift', '-577,-451,-126', 2): выживших 128 (N=[96, 48, 24, 48, 24, 24, 24, 24, 48, 48, 48, 24, 24, 48, 24, 24])
  ('lift', '-577,-451,126', 2): выживших 128 (N=[96, 96, 24, 48, 24, 24, 24, 24, 48, 48, 48, 24, 24, 48, 24, 24])
  ('lift', '-577,-325,-126', 2): выживших 128 (N=[96, 96, 48, 48, 24, 24, 24, 24, 48, 48, 48, 24, 24, 48, 24, 24])
  ('lift', '-577,-126,451', 2): выживших 128 (N=[96, 96, 48, 96, 24, 24, 24, 24, 48, 48, 48, 24, 24, 48, 24, 24])
  ('lift', '-577,-126,577', 2): выживших 128 (N=[96, 96, 48, 96, 48, 24, 24, 24, 48, 48, 48, 24, 24, 48, 24, 24])
  ('lift', '-577,126,325', 2): выживших 128 (N=[96, 96, 48, 96, 48, 48, 24, 24, 48, 48, 48, 24, 24, 48, 24, 24])
  ('lift', '-577,126,451', 2): выживших 128 (N=[96, 96, 48, 96, 48, 48, 48, 24, 48, 48, 48, 24, 24, 48, 24, 24])
  ('lift', '-577,126,577', 2): выживших 128 (N=[96, 96, 48, 96, 48, 48, 48, 48, 48, 48, 48, 24, 24, 48, 24, 24])
  ('lift', '-451,-325,-126', 2): выживших 128 (N=[96, 96, 48, 96, 48, 48, 48, 48, 96, 48, 48, 24, 24, 48, 24, 24])
  ('lift', '-451,-325,126', 2): выживших 128 (N=[96, 96, 48, 96, 48, 48, 48, 48, 96, 96, 48, 24, 24, 48, 24, 24])
  ('lift', '-451,-126,325', 2): выживших 128 (N=[96, 96, 48, 96, 48, 48, 48, 48, 96, 96, 96, 24, 24, 48, 24, 24])
  ('lift', '-451,-126,577', 2): выживших 128 (N=[96, 96, 48, 96, 48, 48, 48, 48, 96, 96, 96, 48, 24, 48, 24, 24])
  ('lift', '-451,126,325', 2): выживших 128 (N=[96, 96, 48, 96, 48, 48, 48, 48, 96, 96, 96, 48, 48, 48, 24, 24])
  ('lift', '-451,126,577', 2): выживших 128 (N=[96, 96, 48, 96, 48, 48, 48, 48, 96, 96, 96, 48, 48, 96, 24, 24])
  ('lift', '-325,-126,451', 2): выживших 128 (N=[96, 96, 48, 96, 48, 48, 48, 48, 96, 96, 96, 48, 48, 96, 48, 24])
  ('lift', '-325,-126,577', 2): выживших 128 (N=[96, 96, 48, 96, 48, 48, 48, 48, 96, 96, 96, 48, 48, 96, 48, 48])
  ('lift', '-577,-451,-126', 5): выживших 128 (N=[480, 96, 48, 96, 48, 48, 48, 48, 96, 96, 96, 48, 48, 96, 48, 48])
  ('lift', '-577,-451,126', 5): выживших 128 (N=[480, 480, 48, 96, 48, 48, 48, 48, 96, 96, 96, 48, 48, 96, 48, 48])
  ('lift', '-577,-325,-126', 5): выживших 128 (N=[480, 480, 240, 96, 48, 48, 48, 48, 96, 96, 96, 48, 48, 96, 48, 48])
  ('lift', '-577,-126,451', 5): выживших 128 (N=[480, 480, 240, 480, 48, 48, 48, 48, 96, 96, 96, 48, 48, 96, 48, 48])
  ('lift', '-577,-126,577', 5): выживших 128 (N=[480, 480, 240, 480, 240, 48, 48, 48, 96, 96, 96, 48, 48, 96, 48, 48])
